ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,21.826,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,21.877,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,21.71,
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,21.558,
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,21.608,
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,21.601,
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,21.607,
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,21.8,
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,21.602,
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,21.584,
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,21.402,
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,21.532,
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,21.313,
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,21.323,
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,21.501,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,21.338,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,21.421,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,21.311,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,21.443,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,21.445,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,21.769,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,21.76,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,21.705,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,21.518,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.315,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.173,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.117,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.092,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,21.733,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,21.791,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,21.707,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,31.424,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.769,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,22.689,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,21.869,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,21.962,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,21.839,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,21.877,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,22.287,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,22.064,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,21.802,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,22.17,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,21.627,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,21.717,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,21.601,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,21.581,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,21.889,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,21.746,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,21.603,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,21.694,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,21.575,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,21.4,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,21.693,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,21.628,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,22.019,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,21.929,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,21.75,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,21.786,
